Datum,Kurs
2022-05-03,270.00
2022-05-04,273.74
2022-05-05,270.00
2022-05-06,268.00
2022-05-09,256.62
2022-05-10,259.59
2022-05-11,259.82
2022-05-12,254.56
2022-05-13,259.62
2022-05-16,260.47
2022-05-17,262.42
2022-05-18,258.00
2022-05-19,256.00
2022-05-20,252.39
2022-05-23,254.28
2022-05-24,251.64
2022-05-25,252.92
2022-05-26,255.68
2022-05-27,260.81
2022-05-30,268.74
2022-05-31,265.26
2022-06-01,270.46
2022-06-02,268.47
2022-06-03,269.66
2022-06-06,265.22
2022-06-07,266.17
2022-06-08,270.69
2022-06-09,262.30
2022-06-10,264.14
2022-06-13,251.15
2022-06-14,251.15
2022-06-15,252.74
2022-06-16,249.00
2022-06-17,249.00
2022-06-20,249.00
2022-06-21,249.00
2022-06-22,249.00
2022-06-23,250.26
2022-06-24,256.40
2022-06-27,264.13
2022-06-28,261.18
2022-06-29,259.26
2022-06-30,257.74
2022-07-01,252.52
2022-07-04,253.00
2022-07-05,260.50
2022-07-06,259.37
2022-07-07,263.65
2022-07-08,265.90
2022-07-11,265.30
2022-07-12,265.30
2022-07-13,266.29
2022-07-14,263.02
2022-07-15,267.80
2022-07-18,266.58
2022-07-19,266.39
2022-07-20,264.86
2022-07-21,267.80
2022-07-22,267.80
2022-07-25,267.80
2022-07-26,267.80
2022-07-27,267.80
2022-07-28,270.94
2022-07-29,271.84
2022-08-01,278.23
2022-08-02,270.00
2022-08-03,274.47
2022-08-04,282.27
2022-08-05,282.13
2022-08-08,274.00
2022-08-09,274.00
2022-08-10,274.76
2022-08-11,274.95
2022-08-12,283.79
2022-08-15,280.89
2022-08-16,282.46
2022-08-17,280.00
2022-08-18,280.73
2022-08-19,280.00
2022-08-22,280.00
2022-08-23,280.00
2022-08-24,276.91
2022-08-25,286.00
2022-08-26,281.28
2022-08-29,278.35
2022-08-30,270.00
2022-08-31,270.00
2022-09-01,270.00
2022-09-02,270.00
2022-09-05,268.00
2022-09-06,270.00
2022-09-07,268.00
2022-09-08,268.00
2022-09-09,268.16
2022-09-12,269.39
2022-09-13,268.00
2022-09-14,268.00
2022-09-15,268.00
2022-09-16,265.04
2022-09-19,264.78
2022-09-20,257.74
2022-09-21,264.83
2022-09-22,255.36
2022-09-23,255.00
2022-09-26,255.00
2022-09-27,255.00
2022-09-28,255.00
2022-09-29,255.00
2022-09-30,249.00
2022-10-03,249.00
2022-10-04,253.73
2022-10-05,254.70
2022-10-06,255.43
2022-10-07,258.06
2022-10-10,249.96
2022-10-11,249.00
2022-10-12,249.00
2022-10-13,248.38
2022-10-14,250.16
2022-10-17,248.53
2022-10-18,255.22
2022-10-19,255.80
2022-10-20,254.74
2022-10-21,250.98
2022-10-24,253.00
2022-10-25,258.47
2022-10-26,256.31
2022-10-27,254.87
2022-10-28,252.37
2022-10-31,255.88
2022-11-01,257.63
2022-11-02,249.74
2022-11-03,252.49
2022-11-04,245.06
2022-11-07,252.24
2022-11-08,252.22
2022-11-09,250.42
2022-11-10,247.20
2022-11-11,254.30
2022-11-14,256.15
2022-11-15,256.15
2022-11-16,257.31
2022-11-17,256.34
2022-11-18,251.43
2022-11-21,258.72
2022-11-22,251.35
2022-11-23,254.00
2022-11-24,254.00
2022-11-25,254.00
2022-11-28,256.45
2022-11-29,255.89
2022-11-30,255.89
2022-12-01,263.78
2022-12-02,261.63
2022-12-05,254.07
2022-12-06,255.03
2022-12-07,250.82
2022-12-08,249.50
2022-12-09,250.41
2022-12-12,256.13
2022-12-13,257.46
2022-12-14,256.63
2022-12-15,252.83
2022-12-16,242.42
2022-12-19,242.42
2022-12-20,242.42
2022-12-21,242.42
2022-12-22,242.42
2022-12-23,242.66
2022-12-27,242.00
2022-12-28,242.00
2022-12-29,242.00
2022-12-30,242.00
2023-01-02,239.57
2023-01-03,247.20
2023-01-04,249.38
2023-01-05,250.07
2023-01-06,252.00
2023-01-09,252.54
2023-01-10,252.52
2023-01-11,254.00
2023-01-12,254.00
2023-01-13,254.00
2023-01-16,254.00
2023-01-17,258.00
2023-01-18,256.47
2023-01-19,253.94
2023-01-20,253.10
2023-01-23,258.00
2023-01-24,258.00
2023-01-25,258.28
2023-01-26,259.81
2023-01-27,259.81
2023-01-30,254.57
2023-01-31,255.68
2023-02-01,255.35
2023-02-02,257.16
2023-02-03,261.70
2023-02-06,260.00
2023-02-07,261.99
2023-02-08,268.17
2023-02-09,264.12
2023-02-10,258.00
2023-02-13,258.00
2023-02-14,258.00
2023-02-15,258.00
