Datum;Schluss
2025-02-10;47.32
2025-02-11;46.96
2025-02-12;48.29
2025-02-13;50.85
2025-02-14;50.92
2025-02-17;50.87
2025-02-18;50.26
2025-02-19;48.09
2025-02-20;47.95
2025-02-21;48.91
2025-02-24;49
2025-02-25;48.75
2025-02-26;49.71
2025-02-27;48.77
2025-02-28;49.21
2025-03-03;50.01
2025-03-04;48.47
2025-03-05;53.66
2025-03-06;54.55
2025-03-07;53.63
2025-03-10;52.93
2025-03-11;50.81
2025-03-12;51.01
2025-03-13;51.43
2025-03-14;52.57
2025-03-17;52.47
2025-03-18;53.16
2025-03-19;52.18
2025-03-20;50.72
2025-03-21;50.5
2025-03-24;50.02
2025-03-25;50.26
2025-03-26;49.7
2025-03-27;47.98
2025-03-28;47.44
2025-03-31;45.9
2025-04-01;46.65
2025-04-02;46.14
2025-04-03;43.38
2025-04-04;41.51
2025-04-07;40.69
2025-04-08;40.89
2025-04-09;39.72
2025-04-10;40.89
2025-04-11;40.74
2025-04-14;42.01
2025-04-15;41.95
2025-04-16;42
2025-04-17;41.95
2025-04-22;43.14
2025-04-23;44.19
2025-04-24;44.54
2025-04-25;44.92
2025-04-28;45.48
2025-04-29;45.24
2025-04-30;44.63
2025-05-02;44.39
2025-05-05;42.48
2025-05-06;42.38
2025-05-07;42.24
2025-05-08;42.86
2025-05-09;43.25
2025-05-12;44.63
2025-05-13;45.29
2025-05-14;44.53
2025-05-15;44.4
2025-05-16;43.4
2025-05-19;43.62
2025-05-20;43.36
2025-05-21;42.94
2025-05-22;42.42
2025-05-23;41.41
2025-05-26;42.36
2025-05-27;42.87
2025-05-28;42.52
2025-05-29;42.62
2025-05-30;42.4
2025-06-02;42.07
2025-06-03;41.98
2025-06-04;42.09
2025-06-05;42
2025-06-06;41.85
2025-06-09;42.3
2025-06-10;43.49
2025-06-11;43.04
2025-06-12;42.69
2025-06-13;42.12
2025-06-16;42.42
2025-06-17;42.57
2025-06-18;42.08
2025-06-19;41.45
2025-06-20;41.48
2025-06-23;41.28
2025-06-24;42.54
2025-06-25;41.55
2025-06-26;41.85
2025-06-27;42.88
2025-06-30;41.86
2025-07-01;42.08
2025-07-02;43.14
2025-07-03;42.2
2025-07-04;41.68
2025-07-07;41.34
2025-07-08;42.41
2025-07-09;43.52
2025-07-10;44.12
2025-07-11;43.33
2025-07-14;42.77
2025-07-15;43.35
2025-07-16;42.02
2025-07-17;42.53
2025-07-18;42.5
2025-07-21;43.49
2025-07-22;43.51
2025-07-23;45
2025-07-24;45.74
2025-07-25;45.65
2025-07-28;44.87
2025-07-29;43.9
2025-07-30;43.95
2025-07-31;43.16
2025-08-01;41.77
2025-08-04;41.68
2025-08-05;42.5
2025-08-06;42.74
2025-08-07;44.76
2025-08-08;45.48
2025-08-11;44.75
2025-08-12;44.82
2025-08-13;45.69
2025-08-14;45.87
2025-08-15;46.16
2025-08-18;46.35
2025-08-19;47.57
2025-08-20;48.13
2025-08-21;47.48
2025-08-22;48.06
2025-08-25;47.32
2025-08-26;47.37
2025-08-27;46.16
2025-08-28;45.89
2025-08-29;45.36
2025-09-01;45.32
2025-09-02;44.91
2025-09-03;44.63
2025-09-04;44
2025-09-05;43.81
2025-09-08;44.18
2025-09-09;43.51
2025-09-10;43.68
2025-09-11;43.95
2025-09-12;43.86
2025-09-15;44
2025-09-16;43.66
2025-09-17;43.49
2025-09-18;42.96
2025-09-19;42.82
2025-09-22;42.19
2025-09-23;42.85
2025-09-24;42.44
2025-09-25;42.09
2025-09-26;42.49
2025-09-29;42.59
2025-09-30;42.39
2025-10-01;42.81
2025-10-02;43.66
2025-10-03;44.27
2025-10-06;43.93
2025-10-07;44
2025-10-08;43.15
2025-10-09;42.97
2025-10-10;42.2
2025-10-13;42.68
2025-10-14;41.59
2025-10-15;42.54
2025-10-16;43.19
2025-10-17;43.5
2025-10-20;43.78
2025-10-21;43.18
2025-10-22;43.11
2025-10-23;43.71
2025-10-24;43.72
2025-10-27;43.4
2025-10-28;43.01
2025-10-29;43.72
2025-10-30;43.02
2025-10-31;42.79
2025-11-03;42.93
2025-11-04;41.85
2025-11-05;43.02
2025-11-06;42.9
2025-11-07;42.52
2025-11-10;43.02
2025-11-11;43.57
2025-11-12;43.74
2025-11-13;44.11
